EMPLOYEE_ID,EMPLOYEE_FIRSTNAME,EMPLOYEE_LASTNAME,EMPLOYEE_NAME,EMPLOYEE_BIRTHDATE,EMPLOYEE_PERSONALNUMBER,EMPLOYEE_GENDER,EMPLOYEE_NATIONALITY,EMPLOYEE_MARTIALSTATUS
1,John,Smith,John Smith,1980-05-14,8005141234,1,34,2
2,Emma,Johnson,Emma Johnson,1990-07-21,9007215678,2,34,1
3,David,Brown,David Brown,1985-11-10,8511103456,1,34,2
4,Olivia,Davis,Olivia Davis,1992-02-05,9202057890,2,34,1
5,Michael,Wilson,Michael Wilson,1978-09-30,7809302345,1,34,2
6,Isabella,Miller,Isabella Miller,1983-12-17,8312171234,2,34,1
7,Ethan,Martinez,Ethan Martinez,1988-03-23,8803233456,1,34,2
8,Sophia,Anderson,Sophia Anderson,1995-06-12,9506125678,2,34,1
9,William,Thomas,William Thomas,1981-04-30,8104307890,1,34,2
10,Mia,Taylor,Mia Taylor,1996-08-14,9608141234,2,34,1
11,Alexander,White,Alexander White,1987-07-19,8707192345,1,34,2
12,Charlotte,Harris,Charlotte Harris,1993-01-22,9301223456,2,34,1
13,James,Martin,James Martin,1984-05-05,8405055678,1,34,2
14,Amelia,Thompson,Amelia Thompson,1991-03-18,9103187890,2,34,1
15,Logan,Garcia,Logan Garcia,1986-11-29,8611291234,1,34,2
16,Emily,Clark,Emily Clark,1989-04-08,8904082345,2,34,1
17,Mason,Rodriguez,Mason Rodriguez,1982-06-25,8206253456,1,34,2
18,Lily,Lewis,Lily Lewis,1994-10-02,9410025678,2,34,1
19,Benjamin,Walker,Benjamin Walker,1980-12-28,8012287890,1,34,2
20,Grace,Hall,Grace Hall,1997-09-06,9709061234,2,34,1
21,Noah,King,Noah King,1990-01-15,9001152345,1,34,2
22,Ava,Wright,Ava Wright,1992-04-19,9204193456,2,34,1
23,Lucas,Scott,Lucas Scott,1984-07-11,8407115678,1,34,2
24,Ella,Adams,Ella Adams,1991-08-03,9108037890,2,34,1
25,Daniel,Baker,Daniel Baker,1987-11-27,8711271234,1,34,2
26,Chloe,Gonzalez,Chloe Gonzales,1995-03-15,9503152345,2,34,1
27,Jackson,Perez,Jackson Perez,1989-09-18,8909183456,1,34,2
28,Harper,Roberts,Harper Roberts,1993-12-30,9312305678,2,34,1
29,Samuel,Evans,Samuel Evans,1985-05-09,8505097890,1,34,2
30,Scarlett,Turner,Scarlett Turner,1997-11-05,9711051234,2,34,1
